time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/value_loss
1,2048,1,115.05882352941177,-0.29411764705882354,1682,,,,,,,,,,
3,4096,2,118.9090909090909,-0.5151515151515151,1253,0.0001,0.01435546875,-2.5116029,10,-4.156611829996109,-0.007771688546199584,0.004874451,0.2,-0.023054929450154305,0.048401692940387875
5,6144,3,111.01818181818182,-0.6,1146,0.0001,0.0556640625,-0.14287245,20,-4.145194017887116,-0.011389512097957777,0.008615355,0.2,-0.013075917959213257,0.02577086278179195
7,8192,4,119.73529411764706,-0.5882352941176471,1102,0.0001,0.023779296875,0.10727912,30,-4.13778143376112,-0.009308171982411295,0.0057122894,0.2,0.0002905307337641716,0.032331749668810514
9,10240,5,132.84415584415584,-0.6103896103896104,1084,0.0001,0.058349609375,-0.113244176,40,-4.126266461610794,-0.011842301182332449,0.008802382,0.2,0.007172893732786179,0.022532785374642116
11,12288,6,143.36470588235295,-0.5764705882352941,1075,0.0001,0.030126953125,-0.005461812,50,-4.123247209191322,-0.010406056645297212,0.007405593,0.2,-0.007996918633580208,0.014242957676469815
13,14336,7,152.33333333333334,-0.5806451612903226,1069,0.0001,0.031689453125,-0.37986767,60,-4.123804394900799,-0.011621047835797071,0.007411109,0.2,-0.00010376982390880585,0.012098986474666163
15,16384,8,158.66,-0.55,1063,0.0001,0.04140625,-0.0840987,70,-4.105434161424637,-0.010608378912002081,0.00637059,0.2,-0.0156488586217165,0.0110077464598362
17,18432,9,179.33,-0.53,1059,0.0001,0.05439453125,-0.2174387,80,-4.089558619260788,-0.012649612954555777,0.0073622945,0.2,-0.03406577184796333,0.011522872649220518
19,20480,10,187.91,-0.55,1055,0.0001,0.020458984375,-0.17231178,90,-4.0907898679375645,-0.009968427363492082,0.005952919,0.2,-0.027131740003824234,0.005629745573423861
21,22528,11,197.73,-0.5,1054,0.0001,0.036279296875,-0.12202358,100,-4.082613380253315,-0.01109523916602484,0.0066639944,0.2,0.006930737290531397,0.0069632837683457184
23,24576,12,210.79,-0.44,1052,0.0001,0.062060546875,-0.15338206,110,-4.054763039946556,-0.012104326592816506,0.008491708,0.2,-0.011526074260473251,0.011821551071261639
25,26624,13,221.02,-0.45,1049,0.0001,0.04560546875,-0.11918068,120,-4.057809200882912,-0.011755505661494681,0.0071047414,0.2,-0.015290845185518265,0.00914416620908014
27,28672,14,233.03,-0.38,1048,0.0001,0.066455078125,-0.08710384,130,-4.054538273811341,-0.012979167764933663,0.009131524,0.2,-0.012661298736929893,0.01228766922286013
29,30720,15,247.54,-0.33,1046,0.0001,0.025146484375,-0.1587106,140,-4.053799207508564,-0.01153988266887609,0.0059592556,0.2,0.007650420535355806,0.012040275130675581
31,32768,16,256.37,-0.25,1046,0.0001,0.068896484375,-0.060499072,150,-4.049737922847271,-0.010763334947114345,0.007972278,0.2,-0.018802285194396973,0.008690166840460733
33,34816,17,256.51,-0.23,1045,0.0001,0.049169921875,0.022705436,160,-4.03373347222805,-0.01169707192457281,0.0072476063,0.2,-0.016660485416650772,0.008421487591022014
35,36864,18,264.69,-0.19,1043,0.0001,0.044775390625,-0.029667735,170,-4.02759615406394,-0.010520765592082171,0.008153548,0.2,0.014235831797122955,0.020435876266856213
37,38912,19,259.14,-0.17,1042,0.0001,0.048095703125,0.009873152,180,-3.9960292905569075,-0.012676665736944415,0.007063783,0.2,-0.02173003740608692,0.008180493474901596
39,40960,20,259.63,-0.15,1041,0.0001,0.014794921875,-0.1995709,190,-4.0008625440299515,-0.009578281170252011,0.0042452584,0.2,-0.015487338416278362,0.014710419974016986
41,43008,21,259.6,-0.12,1040,0.0001,0.02138671875,-0.058164597,200,-3.9931352861225604,-0.009493043654219945,0.0062697586,0.2,-0.015386559069156647,0.00986318388795553
43,45056,22,251.53,-0.13,1040,0.0001,0.058349609375,0.013767481,210,-3.975817018002272,-0.012495448003392085,0.008125343,0.2,-0.017884474247694016,0.012454948469530791
45,47104,23,248.16,-0.06,1038,0.0001,0.055517578125,0.01099062,220,-3.968796652555466,-0.01533182868734002,0.00891235,0.2,-0.018916061148047447,0.006218825584073784
47,49152,24,222.12,-0.04,1038,0.0001,0.030126953125,0.04196328,230,-3.9613926470279694,-0.011509367611870403,0.0059317998,0.2,-0.006357881706207991,0.016037916942696028
49,51200,25,205.78,-0.01,1037,0.0001,0.03662109375,0.036309063,240,-3.9441848903894425,-0.014330766340572154,0.007165046,0.2,-0.02130202203989029,0.030112990867928603
51,53248,26,185.69,0.13,1036,0.0001,0.024072265625,0.042958856,250,-3.9362854443490507,-0.009399506011686754,0.0064335414,0.2,-0.010972820222377777,0.02296652868753881
53,55296,27,158.0,0.28,1037,0.0001,0.07958984375,0.16487885,260,-3.8941384054720403,-0.015362291881319833,0.008051193,0.2,0.022994358092546463,0.02249695326972869
55,57344,28,112.36,0.36,1036,0.0001,0.10703125,0.41350085,270,-3.877096874266863,-0.017442133813165128,0.009570187,0.2,0.012695331126451492,0.018103902597795242
57,59392,29,99.52,0.44,1036,0.0001,0.0466796875,0.06585002,280,-3.843004759401083,-0.011932833282480714,0.0067138365,0.2,-0.009770302101969719,0.03729957174509764
59,61440,30,83.46,0.54,1036,0.0001,0.0435546875,0.14895171,290,-3.824401657283306,-0.014525999860052253,0.0075308974,0.2,-0.005067125894129276,0.03575144032947719
61,63488,31,74.25,0.52,1036,0.0001,0.062158203125,0.36882293,300,-3.764576173573732,-0.015813422617065954,0.007901225,0.2,0.0003508441150188446,0.02973583866842091
63,65536,32,64.31,0.6,1035,0.0001,0.039501953125,0.24600792,310,-3.773639874905348,-0.012059518067690077,0.007125308,0.2,-0.014664501883089542,0.03988716666935943
65,67584,33,58.41,0.62,1033,0.0001,0.051416015625,0.4327641,320,-3.7198071353137494,-0.013242457117303274,0.008296127,0.2,0.011876873672008514,0.035288631994626486
67,69632,34,57.03,0.66,1031,0.0001,0.0611328125,0.47050136,330,-3.7077523529529572,-0.01284067863089149,0.009237755,0.2,0.008121779188513756,0.031996766330848914
69,71680,35,53.14,0.64,1030,0.0001,0.07958984375,0.43747628,340,-3.6928748689591884,-0.00953802838048432,0.008053966,0.2,0.018488958477973938,0.031294972793693886
71,73728,36,43.61,0.58,1030,0.0001,0.0380859375,0.36910534,350,-3.6755614802241325,-0.008891011403466108,0.006579456,0.2,-0.0012142732739448547,0.0493153210321907
73,75776,37,33.28,0.58,1029,0.0001,0.04267578125,0.31114483,360,-3.6375142060220242,-0.011084667825343786,0.0070321304,0.2,0.03787241131067276,0.056656179536366834
75,77824,38,32.89,0.5,1029,0.0001,0.089892578125,0.33777314,370,-3.615785679966211,-0.01496146601093642,0.01011319,0.2,-0.012854548171162605,0.06616901513189077
77,79872,39,39.11,0.52,1028,0.0001,0.053662109375,0.31761593,380,-3.591068486869335,-0.013059152173082112,0.008452211,0.2,0.0305183082818985,0.06809933806653135
79,81920,40,35.92,0.6,1028,0.0001,0.04736328125,0.37403655,390,-3.6170477494597435,-0.010159807267336873,0.0077994843,0.2,0.021571189165115356,0.04469436829385813
81,83968,41,30.48,0.68,1027,0.0001,0.061572265625,0.3583874,400,-3.552932879328728,-0.011418029105698224,0.008463137,0.2,0.024387985467910767,0.06603988975984976
83,86016,42,32.72,0.7,1026,0.0001,0.043603515625,0.4769433,410,-3.507172553986311,-0.011116642143315402,0.0067046685,0.2,-0.0016284799203276634,0.04796101334213745
85,88064,43,27.41,0.72,1025,0.0001,0.0642578125,0.41294235,420,-3.4826334305107594,-0.011529127131507267,0.007968837,0.2,0.027475666254758835,0.058325605338905004
87,90112,44,23.82,0.58,1025,0.0001,0.07470703125,0.44439662,430,-3.424061670154333,-0.014277570198464673,0.009712153,0.2,-0.0026650428771972656,0.05150383381405845
89,92160,45,23.97,0.74,1024,0.0001,0.056689453125,0.30587494,440,-3.3717728056013585,-0.011119304227759131,0.007977022,0.2,0.02290646731853485,0.08953201726544649
92,94208,46,24.8,0.72,1023,0.0001,0.049267578125,0.33322698,450,-3.358125063031912,-0.01062597776617622,0.009399911,0.2,0.04544573277235031,0.06840395972249098
94,96256,47,24.73,0.84,1023,0.0001,0.057763671875,0.4304415,460,-3.348229144513607,-0.010635433490824653,0.007943802,0.2,-0.005592855624854565,0.05580132867908105
96,98304,48,24.01,0.82,1022,0.0001,0.0630859375,0.42849845,470,-3.2798081606626512,-0.012606972895446234,0.008710138,0.2,-0.011795146390795708,0.05590342144714668
98,100352,49,24.84,0.76,1022,0.0001,0.06435546875,0.46758693,480,-3.2655152387917044,-0.012611623396514915,0.010011186,0.2,-0.012949076481163502,0.047583745457814075
100,102400,50,22.88,0.64,1021,0.0001,0.037158203125,0.40125418,490,-3.2209296472370625,-0.010485439328476787,0.0072914204,0.2,0.006737617775797844,0.05930167486076243
102,104448,51,23.83,0.72,1020,0.0001,0.0830078125,0.3534571,500,-3.1828247629106046,-0.012854114279616625,0.008435101,0.2,0.029526038095355034,0.07589871831587516
104,106496,52,23.43,0.82,1019,0.0001,0.07001953125,0.2744254,510,-3.156773069500923,-0.010841735076974146,0.008518231,0.2,0.03887553513050079,0.07829002283397131
106,108544,53,23.55,0.68,1019,0.0001,0.085400390625,0.48877954,520,-3.1397824883461,-0.013620205094048288,0.010084799,0.2,0.043117523193359375,0.04280041029851418
108,110592,54,24.7,0.82,1019,0.0001,0.075537109375,0.31909728,530,-3.1092498153448105,-0.00870842164295027,0.008827041,0.2,0.03788390010595322,0.07755933181615546
110,112640,55,24.18,0.9,1018,0.0001,0.023486328125,0.44566554,540,-3.10054589509964,-0.007465823031088803,0.0064644157,0.2,0.01918177865445614,0.04974796221940778
112,114688,56,22.86,0.92,1018,0.0001,0.0607421875,0.44769716,550,-3.0457604520022867,-0.01197305286914343,0.009709464,0.2,-0.009617630392313004,0.045543729964992966
114,116736,57,23.91,0.92,1018,0.0001,0.074169921875,0.5705068,560,-2.9685454539954663,-0.010340045919292606,0.009263842,0.2,0.049100361764431,0.03210134451801423
116,118784,58,22.08,0.86,1018,0.0001,0.078564453125,0.5053941,570,-2.945758595317602,-0.012000766991695855,0.009965777,0.2,-0.022243745625019073,0.03980171290459111
118,120832,59,23.02,0.92,1018,0.0001,0.059130859375,0.38168532,580,-2.8974922455847265,-0.010239836566324812,0.010318998,0.2,-0.005972838029265404,0.05702748507610522
120,122880,60,23.0,0.96,1017,0.0001,0.047119140625,0.5554226,590,-2.907511209696531,-0.009826311004871968,0.007882038,0.2,-0.029100816696882248,0.03391374181956053
122,124928,61,21.61,0.92,1017,0.0001,0.03173828125,0.5993968,600,-2.866009658575058,-0.007123887210036628,0.005792219,0.2,0.013146089389920235,0.028938321088207885
124,126976,62,24.14,0.9,1016,0.0001,0.063232421875,0.48934323,610,-2.8178873501718043,-0.008267891826108098,0.008452107,0.2,-0.029255587607622147,0.042564505065092816
126,129024,63,20.97,0.82,1016,0.0001,0.093359375,0.43185925,620,-2.8110262200236322,-0.011025954218348488,0.011379236,0.2,0.020581960678100586,0.04728373531834222
128,131072,64,22.6,0.88,1016,0.0001,0.038330078125,0.31973398,630,-2.809154412895441,-0.007837966436636635,0.0062031336,0.2,0.03809209167957306,0.06813204950303771
131,133120,65,19.21,0.94,1015,0.0001,0.0751953125,0.4156558,640,-2.7796593703329564,-0.012677253027504776,0.0085014105,0.2,-0.0013190200552344322,0.05241254596912768
133,135168,66,22.46,0.94,1015,0.0001,0.051708984375,0.5091169,650,-2.753137461096048,-0.008843607050948776,0.008274158,0.2,0.03641122207045555,0.04018248648790177
135,137216,67,22.89,0.96,1015,0.0001,0.068896484375,0.5065656,660,-2.7091981269419194,-0.011500570585485547,0.008810548,0.2,-0.00959770381450653,0.03873419241863303
137,139264,68,23.26,0.88,1014,0.0001,0.05400390625,0.53019124,670,-2.6952888876199723,-0.00829312501300592,0.005621312,0.2,-0.003190135583281517,0.03405650374479592
139,141312,69,21.5,0.94,1014,0.0001,0.074560546875,0.4143294,680,-2.6995209865272045,-0.009976781003933866,0.00937712,0.2,0.028456561267375946,0.049118857068242504
141,143360,70,22.0,0.92,1013,0.0001,0.03408203125,0.4964136,690,-2.692955996096134,-0.008796863925817888,0.006064086,0.2,-0.0169430710375309,0.04042890452255961
143,145408,71,21.48,0.9,1013,0.0001,0.064501953125,0.43578112,700,-2.6604604586958884,-0.009665448598389048,0.009861184,0.2,0.020532917231321335,0.04642364081228152
145,147456,72,21.06,0.94,1013,0.0001,0.03818359375,0.36450297,710,-2.6147831574082376,-0.005610511667327955,0.0063991756,0.2,0.004972301423549652,0.054966502782190216
147,149504,73,21.73,0.96,1013,0.0001,0.060986328125,0.49421358,720,-2.6594668358564375,-0.010969747654598905,0.011956267,0.2,0.0227274801582098,0.04015569348703139
149,151552,74,22.81,0.98,1013,0.0001,0.040234375,0.53723645,730,-2.6258457854390143,-0.008618335716892033,0.0084795635,0.2,-0.006066858768463135,0.0348502904176712
151,153600,75,22.14,1.0,1012,0.0001,0.0611328125,0.5813937,740,-2.580946131050587,-0.011109601242060308,0.008844722,0.2,-0.0038904137909412384,0.028741324294242077
153,155648,76,21.95,0.92,1012,0.0001,0.056005859375,0.6369338,750,-2.5323908984661103,-0.010940045335155446,0.007615309,0.2,0.014934733510017395,0.024764194220188072
155,157696,77,20.63,0.92,1012,0.0001,0.059814453125,0.4821549,760,-2.5287451408803463,-0.008665531045699027,0.008718897,0.2,0.029581695795059204,0.04320115388254635
157,159744,78,22.93,0.88,1011,0.0001,0.07275390625,0.44871527,770,-2.5081519350409507,-0.008625419797317591,0.008645689,0.2,-0.0035030990839004517,0.04460386845457833
159,161792,79,20.45,0.96,1011,0.0001,0.067724609375,0.27369767,780,-2.545562893152237,-0.00856271240136266,0.008406474,0.2,0.0018512532114982605,0.06148426817380823
162,163840,80,21.04,0.94,1011,0.0001,0.0802734375,0.4153483,790,-2.5014297761023045,-0.010857301446958446,0.009386392,0.2,0.012353143654763699,0.042866446118569004
164,165888,81,22.26,0.94,1011,0.0001,0.047705078125,0.47976238,800,-2.5313953414559363,-0.008608684515638742,0.008888649,0.2,0.006400015205144882,0.038427361700451
166,167936,82,22.72,0.96,1010,0.0001,0.07197265625,0.46654528,810,-2.5305416852235796,-0.010558686830336228,0.008571986,0.2,0.021715523675084114,0.04172446159645915
168,169984,83,21.0,0.96,1010,0.0001,0.05419921875,0.53217494,820,-2.5312664926052095,-0.00734680457826471,0.0060620476,0.2,0.013646217063069344,0.03168262088438496
170,172032,84,21.91,0.96,1010,0.0001,0.06396484375,0.4835195,830,-2.524955762922764,-0.011355821465986082,0.007984918,0.2,-0.008286749944090843,0.03760127635905519
172,174080,85,20.34,0.92,1009,0.0001,0.03984375,0.5523681,840,-2.516873583942652,-0.007576606241491391,0.005781143,0.2,0.01398525107651949,0.030545049224747343
