rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates,train/learning_rate
95.0,3,2048,-0.7142857142857143,1,578,,,,,,,,,,
96.85365853658537,8,4096,-0.7073170731707317,2,457,-4.155982045829296,0.0236328125,-0.012942966857372085,0.2,-0.02703968994319439,-1.2698908,0.0054452615,0.038780080668220765,10,0.0001
111.41509433962264,14,6144,-0.6226415094339622,3,427,-4.147288075089454,0.0400390625,-0.011997031875216635,0.2,-0.01303224079310894,-0.037338495,0.0072938,0.030564314998628106,20,0.0001
123.234375,19,8192,-0.625,4,419,-4.130038826167583,0.055810546875,-0.01232024686432851,0.2,-0.010219328105449677,-0.073642015,0.008753883,0.021779587370838273,30,0.0001
137.78378378378378,24,10240,-0.581081081081081,5,414,-4.100417414307595,0.05146484375,-0.012718493658030638,0.2,0.00428132526576519,-0.016787648,0.009174096,0.01877439107229293,40,0.0001
145.55421686746988,29,12288,-0.5662650602409639,6,412,-4.081203852593899,0.0181640625,-0.009187059476971626,0.2,-0.014757197350263596,-0.11456835,0.006053157,0.012559525780670811,50,0.0001
155.77777777777777,34,14336,-0.5444444444444444,7,410,-4.0670174092054365,0.03115234375,-0.011316918368538608,0.2,0.005330176092684269,-0.09792316,0.00784081,0.014077064116645489,60,0.0001
171.41052631578947,40,16384,-0.5263157894736842,8,409,-4.036961925029755,0.056005859375,-0.01237701596255647,0.2,0.004256687127053738,-0.0073924065,0.008605076,0.01037431784097862,70,0.0001
182.11,45,18432,-0.49,9,408,-3.992190807312727,0.02685546875,-0.00902343915804522,0.2,-0.02235228754580021,-0.41823125,0.0060783364,0.0022590465032408247,80,0.0001
198.94,50,20480,-0.43,10,407,-4.009152002632618,0.02548828125,-0.010331169413257157,0.2,-0.010047491639852524,-0.110750556,0.0066041397,0.00924057409956731,90,0.0001
212.32,55,22528,-0.4,11,407,-3.999415407329798,0.014453125,-0.008451691129448591,0.2,-0.005624024197459221,-0.1036526,0.0052314242,0.006117224517947761,100,0.0001
227.28,60,24576,-0.37,12,406,-3.95325982645154,0.05810546875,-0.00861185976464185,0.2,-0.011419396847486496,-0.66875565,0.007713981,0.0021948510540823916,110,0.0001
244.01,65,26624,-0.32,13,405,-3.932302685827017,0.005078125,-0.006137914285500301,0.2,-0.0065559521317481995,-0.08973193,0.0034604128,0.003833619325132531,120,0.0001
256.61,70,28672,-0.23,14,404,-3.933235414326191,0.062890625,-0.009496968812163687,0.2,0.008904163725674152,0.06024301,0.007785326,0.002781720057055281,130,0.0001
270.48,75,30720,-0.19,15,404,-3.941610401123762,0.037060546875,-0.010715567822626327,0.2,-0.0035987417213618755,0.07035756,0.0067552286,0.011118729848749353,140,0.0001
271.37,81,32768,-0.08,16,404,-3.960416915267706,0.0486328125,-0.011502066982211545,0.2,0.017343644052743912,-0.10788357,0.0067521213,0.0066299415473622504,150,0.0001
272.12,86,34816,0.0,17,403,-3.9222595296800136,0.07099609375,-0.01278104129123676,0.2,0.00020115106599405408,0.10405773,0.0075959694,0.01994974533263303,160,0.0001
263.79,91,36864,0.13,18,402,-3.883814151585102,0.06552734375,-0.014323175760910089,0.2,-0.022329486906528473,-0.09239817,0.009065199,0.017528906750703753,170,0.0001
237.09,96,38912,0.29,19,402,-3.8688069246709347,0.0474609375,-0.011671190399647457,0.2,0.0056350212544202805,0.10652435,0.008053706,0.019681139625390642,180,0.0001
169.73,101,40960,0.39,20,402,-3.843365464359522,0.041357421875,-0.012769834773644106,0.2,-0.02657162956893444,0.20167238,0.005367981,0.02210106493803323,190,0.0001
121.44,106,43008,0.43,21,402,-3.829338678717613,0.02314453125,-0.008116663713735761,0.2,0.01885068602859974,0.15446371,0.005685292,0.033649070424144154,200,0.0001
113.77,112,45056,0.5,22,402,-3.8309414431452753,0.05498046875,-0.010028078166942577,0.2,-0.005720897112041712,0.18611252,0.0072728056,0.0285693954967428,210,0.0001
93.91,117,47104,0.54,23,401,-3.8335368402302263,0.089501953125,-0.014590634687920101,0.2,0.01178545132279396,0.46373528,0.00853777,0.014802448199043283,220,0.0001
