time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/value_loss
0,2048,1,109.11111111111111,-0.3333333333333333,3220,,,,,,,,,,
1,4096,2,111.88888888888889,-0.3888888888888889,2073,0.0001,0.00625,-0.25067008,10,-1.3857387810945512,-0.006444244716112735,0.0014593427,0.2,0.013723159208893776,0.03215149901570839
3,6144,3,110.9090909090909,-0.2727272727272727,1901,0.0001,0.01005859375,0.016263485,20,-1.381871021538973,-0.00480017676090938,0.0023995512,0.2,0.044198960065841675,0.03069812737230677
4,8192,4,103.84615384615384,-0.1794871794871795,1813,0.0001,0.014794921875,-0.077613235,30,-1.3750868774950504,-0.005430648392211879,0.0025981064,0.2,-0.016574472188949585,0.03374167716574448
5,10240,5,97.04,0.0,1774,0.0001,0.0158203125,0.018318355,40,-1.3624924052506686,-0.006360245742689586,0.004659072,0.2,0.017999911680817604,0.04133292603510199
7,12288,6,82.95,0.24,1741,0.0001,0.04482421875,0.09571707,50,-1.3333777971565723,-0.010794961137435166,0.012522835,0.2,-0.02529475837945938,0.03684162222780287
8,14336,7,71.51,0.42,1720,0.0001,0.041455078125,0.23422843,60,-1.3089863300323485,-0.006126208580462844,0.006033467,0.2,0.006994131952524185,0.04275074067118112
9,16384,8,48.22,0.48,1707,0.0001,0.014111328125,0.16297549,70,-1.2759016908705234,-0.004641055258252891,0.0062264437,0.2,0.01744595542550087,0.05501255943381693
10,18432,9,35.0,0.48,1688,0.0001,0.04326171875,0.27151012,80,-1.2303273871541023,-0.006885913654696196,0.008177472,0.2,0.03922104462981224,0.058769097545882686
12,20480,10,36.02,0.56,1681,0.0001,0.034814453125,0.22797441,90,-1.1971236158162355,-0.004211849308921956,0.0036331431,0.2,0.0689803883433342,0.08355567056569271
13,22528,11,33.23,0.64,1643,0.0001,0.00810546875,0.37200862,100,-1.1614889305084943,-0.002773762472497765,0.005240924,0.2,0.024953924119472504,0.05770919675123878
16,24576,12,28.35,0.6,1477,0.0001,0.05224609375,0.3587647,110,-1.1186256166547537,-0.007164402990019881,0.008665155,0.2,-0.00640997476875782,0.06487345726927743
19,26624,13,23.33,0.34,1358,0.0001,0.031103515625,0.34520298,120,-1.0664095282554626,-0.003560651662701275,0.007955978,0.2,0.03816642612218857,0.07456236817524768
22,28672,14,24.93,0.54,1272,0.0001,0.090625,0.16068625,130,-1.0298471182584763,-0.013179454635246658,0.013289832,0.2,0.03358077257871628,0.12724821092560887
25,30720,15,25.74,0.72,1205,0.0001,0.036376953125,0.30420542,140,-0.9854871388524771,-0.006486415764811682,0.008199176,0.2,0.06813021749258041,0.08332208658102899
28,32768,16,24.17,0.68,1154,0.0001,0.014599609375,0.40757805,150,-0.930766006372869,-0.002796157807460986,0.005555301,0.2,0.0038609355688095093,0.06274195721489377
31,34816,17,27.52,0.7,1112,0.0001,0.042626953125,0.2987802,160,-0.9297721058130264,-0.006537348371784902,0.009925211,0.2,0.04348253831267357,0.08554349973564968
34,36864,18,23.61,0.46,1076,0.0001,0.03662109375,0.3656987,170,-0.9200188411399722,-0.006132606325991219,0.011393889,0.2,-0.019482597708702087,0.06269913442665712
37,38912,19,22.03,0.62,1046,0.0001,0.04794921875,0.24099398,180,-0.8694029834121466,-0.005184626305708662,0.009266021,0.2,0.08088310062885284,0.10868231483036653
40,40960,20,22.92,0.78,1021,0.0001,0.0140625,0.35607433,190,-0.7905304519459605,-0.002043850118207047,0.004792284,0.2,0.03359520807862282,0.07801364839542657
43,43008,21,22.53,0.78,999,0.0001,0.03740234375,0.4328124,200,-0.7357692467048764,-0.007358811755329953,0.012443913,0.2,0.009593136608600616,0.05765916985692456
45,45056,22,22.23,0.58,979,0.0001,0.002099609375,0.45207143,210,-0.7139840468764305,-0.0017406381150067319,0.0036805482,0.2,0.03653645142912865,0.058042001829016955
48,47104,23,22.07,0.66,961,0.0001,0.077587890625,0.31303126,220,-0.7262421851977706,-0.005607928852259647,0.0073863743,0.2,0.05205380544066429,0.09003940018010326
51,49152,24,20.59,0.76,946,0.0001,0.011767578125,0.3735836,230,-0.7118448933586479,-0.0014876103559799958,0.0026453673,0.2,0.03336602449417114,0.07627237603301182
54,51200,25,22.11,0.8,933,0.0001,0.033154296875,0.40641123,240,-0.6520732998847961,-0.005426942276972113,0.00962193,0.2,0.032244738191366196,0.06815721963648684
57,53248,26,21.8,0.82,921,0.0001,0.005029296875,0.40772903,250,-0.6359480148181319,-0.0015101818476978223,0.0021989327,0.2,0.010627906769514084,0.06383680603466928
60,55296,27,22.64,0.78,909,0.0001,0.0208984375,0.44694406,260,-0.6078437959775329,-0.0034051431008265353,0.007841533,0.2,0.0002779010683298111,0.05701194100256544
63,57344,28,22.8,0.86,899,0.0001,0.03818359375,0.41061985,270,-0.6109792485833168,-0.0026996749416866805,0.0051503074,0.2,0.016735561192035675,0.06064813322445843
66,59392,29,23.48,0.86,890,0.0001,0.01025390625,0.4323566,280,-0.6274209901690483,-0.0008641992062621284,0.003110412,0.2,0.004552205093204975,0.05446049407473765
69,61440,30,21.56,0.98,882,0.0001,0.017236328125,0.46482396,290,-0.5875900767743587,-0.002238402803777717,0.0050109266,0.2,0.016552435234189034,0.050375552961486394
72,63488,31,23.01,0.82,874,0.0001,0.067626953125,0.62133,300,-0.5416272537782788,-0.006392438519105781,0.0086008925,0.2,0.006372137926518917,0.02814450661826413
75,65536,32,22.42,0.86,867,0.0001,0.05576171875,0.3881333,310,-0.5547700138762593,-0.002854714883869747,0.0048679067,0.2,0.052800264209508896,0.06266177120269276
78,67584,33,21.14,0.86,861,0.0001,0.01201171875,0.5200336,320,-0.5421977306716144,-0.004015741832699859,0.0029052221,0.2,-0.006435725837945938,0.04640863533131778
81,69632,34,21.95,0.92,854,0.0001,0.006103515625,0.44266146,330,-0.5318988986313343,-0.0012869837679318152,0.0012038145,0.2,0.02407464198768139,0.05513541712425649
84,71680,35,21.01,0.9,848,0.0001,0.006494140625,0.516507,340,-0.5796934518963098,-0.0013510778662748635,0.0053249914,0.2,0.02040432021021843,0.03714725318423007
87,73728,36,21.34,0.86,843,0.0001,0.03017578125,0.48410517,350,-0.5691972026601434,-0.002123050969385076,0.0067540305,0.2,-0.0004908489063382149,0.04586349208257161
90,75776,37,21.83,0.9,838,0.0001,0.087890625,0.41507506,360,-0.5369329389184714,-0.008510002952971264,0.010097249,0.2,-0.0447838231921196,0.05412813889561221
93,77824,38,21.86,0.98,834,0.0001,0.01083984375,0.5019307,370,-0.5542669476941228,-0.0010079395775392185,0.0059706056,0.2,0.02258685603737831,0.0421129998518154
96,79872,39,20.43,0.92,829,0.0001,0.063623046875,0.63040125,380,-0.5289401931688189,-0.004966868893825449,0.009794394,0.2,-0.013046789914369583,0.02662496102566365
99,81920,40,22.41,0.96,825,0.0001,0.0806640625,0.46094096,390,-0.4585742769762874,-0.0047951715067029,0.0073031485,0.2,0.015532359480857849,0.045227134693413974
102,83968,41,21.77,0.94,822,0.0001,0.010595703125,0.5571942,400,-0.49888428281992675,-0.0010817486821906642,0.0034806645,0.2,0.034507714211940765,0.033546794307767414
105,86016,42,21.4,0.88,818,0.0001,0.02861328125,0.48079962,410,-0.513551523629576,-0.0017063651739590568,0.0062867766,0.2,0.022209681570529938,0.042558775396901186
108,88064,43,21.62,0.86,815,0.0001,0.051220703125,0.3934279,420,-0.49571129977703093,-0.0037156825979764107,0.0077004926,0.2,-0.006989598274230957,0.05517265759408474
110,90112,44,21.75,0.9,812,0.0001,0.027880859375,0.32988173,430,-0.509630816616118,-0.003189991896942956,0.0017686838,0.2,0.03442792221903801,0.06436096270917915
