rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates,train/learning_rate
98.77777777777777,1,2048,-0.5555555555555556,1,1318,,,,,,,,,,
104.05128205128206,4,4096,-0.5384615384615384,2,940,-1.3851253416389226,0.00322265625,-0.00622593336411228,0.2,-0.008670227602124214,-0.07983589,0.003721948,0.02913710440407158,10,0.0001
115.70588235294117,7,6144,-0.43137254901960786,3,854,-1.3759204968810081,0.02685546875,-0.01064051969879074,0.2,-0.01641145534813404,0.05338359,0.004159323,0.034025616446160714,20,0.0001
134.71666666666667,9,8192,-0.3,4,819,-1.364892214909196,0.021875,-0.009915321831795155,0.2,-0.005662098526954651,-0.05841291,0.00378707,0.020156409031324075,30,0.0001
132.6103896103896,12,10240,-0.16883116883116883,5,796,-1.352733426913619,0.01064453125,-0.0069836187329201495,0.2,-0.019160745665431023,-0.016616344,0.0045951237,0.01330448886128579,40,0.0001
119.86,15,12288,0.1,6,784,-1.3390143875032663,0.03798828125,-0.009815767433610744,0.2,-0.0186726413667202,0.07264274,0.007591022,0.028787308950995794,50,0.0001
103.81,18,14336,0.46,7,776,-1.3104415208101272,0.04580078125,-0.011178444160032086,0.2,0.005449217744171619,0.25895894,0.0071078856,0.029011562997766305,60,0.0001
61.58,21,16384,0.56,8,770,-1.287575614452362,0.07919921875,-0.011183010646345793,0.2,-0.00981519278138876,0.19017595,0.010675835,0.04679167311405763,70,0.0001
49.95,24,18432,0.58,9,765,-1.225117338821292,0.057568359375,-0.009312718420551392,0.2,-0.00930418074131012,0.0852375,0.006070339,0.06247746011940762,80,0.0001
39.67,26,20480,0.68,10,761,-1.2149486683309079,0.0650390625,-0.010562806003144942,0.2,0.03180750831961632,0.26937383,0.006986456,0.04964615619392134,90,0.0001
37.74,29,22528,0.64,11,758,-1.153036355227232,0.030615234375,-0.0040911142397817455,0.2,0.02158772572875023,0.38154322,0.0046398914,0.05502477412228472,100,0.0001
36.17,32,24576,0.7,12,755,-1.1188656263053418,0.034375,-0.00724977234567632,0.2,0.07346799969673157,0.27189195,0.00920778,0.06483673229231499,110,0.0001
34.61,35,26624,0.84,13,753,-1.0423598306253552,0.080712890625,-0.008908363889349857,0.2,0.013045622035861015,0.46175826,0.014205817,0.04477427734527737,120,0.0001
35.72,38,28672,0.84,14,751,-0.9339774716645479,0.055224609375,-0.006925172336195828,0.2,0.009227734059095383,0.589036,0.0076111755,0.03246355481096543,130,0.0001
32.68,40,30720,0.88,15,749,-0.8547200851142407,0.012109375,-0.0023816666085622273,0.2,0.021954432129859924,0.45293498,0.0020474447,0.04393356473592576,140,0.0001
28.82,43,32768,0.9,16,748,-0.821224013529718,0.050537109375,-0.006617971101513831,0.2,0.03485371544957161,0.4993087,0.0070759016,0.04214958514494356,150,0.0001
24.33,46,34816,0.9,17,746,-0.7877851497381926,0.092333984375,-0.009032820783613716,0.2,0.007699908688664436,0.5107821,0.00746012,0.04223252041847445,160,0.0001
23.23,49,36864,0.82,18,745,-0.7504363730549812,0.096484375,-0.007273347578302491,0.2,0.0384187251329422,0.5137509,0.007657307,0.042220032797195016,170,0.0001
23.34,52,38912,0.86,19,743,-0.7423632619902492,0.026416015625,-0.0019859159292536788,0.2,0.003509512171149254,0.4213357,0.003669253,0.05804237957345322,180,0.0001
21.98,55,40960,0.86,20,742,-0.6909895291551947,0.065283203125,-0.0062485913178534245,0.2,0.04809442162513733,0.5322212,0.010754988,0.03987138776574284,190,0.0001
22.04,58,43008,0.92,21,740,-0.6612612212076783,0.018896484375,-0.004168463807582156,0.2,-0.004007881507277489,0.47223556,0.0030379347,0.04965793531155214,200,0.0001
23.77,60,45056,0.8,22,739,-0.6209729228168726,0.027392578125,-0.004255933458625805,0.2,0.011492360383272171,0.39172286,0.0066665933,0.05174899428384379,210,0.0001
25.15,63,47104,0.9,23,738,-0.5872619479894639,0.00634765625,-0.0014028271580173168,0.2,0.04985417053103447,0.3374617,0.0030961984,0.06975045207655058,220,0.0001
22.89,66,49152,0.88,24,738,-0.5869017327204347,0.0470703125,-0.0030720309165189973,0.2,0.006614758633077145,0.5368686,0.0046583097,0.03263631582667585,230,0.0001
22.89,69,51200,0.94,25,737,-0.6121069490909576,0.0474609375,-0.003614916526566958,0.2,0.021153965964913368,0.4307775,0.0054848148,0.05058807064779103,240,0.0001
22.93,72,53248,0.94,26,737,-0.5767851306125522,0.072021484375,-0.0072877142934885345,0.2,0.0248377937823534,0.5306965,0.009002816,0.038001878160866906,250,0.0001
21.95,75,55296,0.88,27,736,-0.5845982065424323,0.0365234375,-0.0025469727988820523,0.2,0.049198247492313385,0.5132955,0.004645871,0.039051737115369176,260,0.0001
24.05,77,57344,0.9,28,736,-0.5659656362608075,0.001513671875,-0.0009380176190461498,0.2,0.025995668023824692,0.44204694,0.0044481633,0.051956432551378384,270,0.0001
22.83,80,59392,0.9,29,735,-0.5533784989267587,0.01171875,-0.00017277034567086957,0.2,0.019502265378832817,0.46580046,0.0035547642,0.04534723122487776,280,0.0001
22.16,83,61440,0.86,30,734,-0.522969135735184,0.025634765625,-0.002765197913686279,0.2,0.062460217624902725,0.47681624,0.006903665,0.04693967535858974,290,0.0001
22.63,86,63488,0.96,31,733,-0.5409110155887902,0.018798828125,-0.0017134517089289147,0.2,0.013865340501070023,0.4346066,0.0038644106,0.05471087866462767,300,0.0001
24.17,89,65536,0.88,32,732,-0.5245670609176158,0.028759765625,-0.0025243432784918694,0.2,0.0037897704169154167,0.63285655,0.0032821898,0.02641913687984925,310,0.0001
22.04,92,67584,0.9,33,732,-0.5694530694745481,0.0607421875,-0.005549875265569426,0.2,-0.0012578116729855537,0.41497183,0.0062431544,0.04919123998261057,320,0.0001
22.78,95,69632,0.94,34,731,-0.5551038932055234,0.0056640625,-0.0011060051125241443,0.2,0.0147252157330513,0.4100108,0.0031833856,0.05341075363976415,330,0.0001
